player,team,GP,Goals,Assists,Points,+/-,PIM,GWG,OTG,PPGoals,PPAssists,ShGoals,ShAssists,S,S%,P/G
"Hronek,Filip",DET,46,5,18,23,-10,30,0,0,0,4,0,1,73,6.8%,0.5
"Chytil,Filip",NYR,75,11,12,23,-22,8,2,0,0,4,0,0,133,8.3%,0.3
"Benn,Jordie",MTL,81,5,17,22,15,39,1,0,0,0,0,0,93,5.4%,0.3
"Dillon,Brenden",SJ,82,1,21,22,19,61,0,0,0,0,1,0,71,1.4%,0.3
"Granlund,Markus",VAN,77,12,10,22,-4,20,1,0,0,1,0,1,123,9.8%,0.3
"Dumba,Mathew",MIN,32,12,10,22,-5,21,1,0,0,6,0,0,93,12.9%,0.7
"DeMelo,Dylan",OTT,77,4,18,22,-1,32,0,0,0,3,0,1,109,3.7%,0.3
"Dowd,Nic",WSH,64,8,14,22,10,20,3,0,0,0,0,1,47,17.0%,0.3
"Dickinson,Jason",DAL,67,6,16,22,9,23,2,2,0,0,0,0,94,6.4%,0.3
"Archibald,Josh",ARI,68,12,10,22,1,15,1,0,0,0,0,1,92,13.0%,0.3
"Hintz,Roope",DAL,58,9,13,22,-11,24,3,1,0,3,0,0,99,9.1%,0.4
"Brouwer,Troy",FLA,75,12,9,21,-6,47,1,0,0,0,1,0,86,14.0%,0.3
"Clifford,Kyle",LA,72,11,10,21,4,96,2,0,0,0,0,0,115,9.6%,0.3
"Weal,Jordan",MTL,63,8,13,21,-8,18,1,0,0,4,0,0,75,10.7%,0.3
"Pelech,Adam",NYI,78,5,16,21,22,24,0,0,0,0,0,0,110,4.5%,0.3
"Perlini,Brendan",CHI,68,14,7,21,-17,28,0,0,0,2,0,0,117,12.0%,0.3
"Wagner,Austin",LA,62,12,9,21,2,16,0,0,0,0,0,0,67,17.9%,0.3
"Kuraly,Sean",BOS,71,8,13,21,6,38,3,1,0,0,0,0,134,6.0%,0.3
"Nutivaara,Markus",CBJ,80,5,16,21,3,6,1,0,0,0,0,0,99,5.1%,0.3
"Cullen,Matt",PIT,71,7,13,20,6,14,2,0,0,0,2,2,87,8.0%,0.3
"Backes,David",BOS,70,7,13,20,0,31,1,0,0,5,0,0,129,5.4%,0.3
"Lucic,Milan",EDM,79,6,14,20,-9,91,0,0,0,2,0,0,74,8.1%,0.3
"Reaves,Ryan",VGK,80,9,11,20,1,74,2,0,0,0,0,0,95,9.5%,0.3
"Larsson,Adam",EDM,82,3,17,20,-28,44,0,0,0,0,0,1,117,2.6%,0.2
"DeKeyser,Danny",DET,52,5,15,20,2,39,3,1,0,0,0,0,59,8.5%,0.4
"Gudas,Radko",WSH,77,4,16,20,6,63,0,0,0,0,0,0,136,2.9%,0.3
"Jensen,Nick",WSH,80,2,18,20,4,21,0,0,0,0,0,1,94,2.1%,0.3
"Fast,Jesper",NYR,66,8,12,20,-3,26,1,0,0,0,0,0,80,10.0%,0.3
"Lindberg,Oscar",OTT,55,9,11,20,4,28,0,0,0,1,0,0,91,9.9%,0.4
"Erne,Adam",TB,65,7,13,20,10,40,3,0,0,0,0,0,70,10.0%,0.3
"Chiarot,Ben",WPG,78,5,15,20,6,62,1,0,0,0,0,1,111,4.5%,0.3
"Oesterle,Jordan",ARI,71,6,14,20,-3,12,0,0,0,4,0,0,77,7.8%,0.3
"Hagg,Robert",PHI,82,5,15,20,-3,63,1,0,0,0,0,0,86,5.8%,0.2
"Hutton,Ben",VAN,69,5,15,20,-23,43,1,0,0,7,0,1,114,4.4%,0.3
"Boyd,Travis",WSH,53,5,15,20,6,6,1,0,0,2,0,0,35,14.3%,0.4
"Kase,Ondrej",ANA,30,11,9,20,0,2,2,0,0,3,0,0,94,11.7%,0.7
"Rowney,Carter",ANA,62,7,13,20,0,12,0,0,0,0,1,0,53,13.2%,0.3
"Chychrun,Jakob",ARI,53,5,15,20,-12,28,0,0,0,5,0,0,117,4.3%,0.4
"Sanford,Zach",STL,60,8,12,20,8,21,2,0,0,1,0,0,77,10.4%,0.3
"Boychuk,Johnny",NYI,74,3,16,19,10,25,1,0,0,2,0,1,157,1.9%,0.3
"Abdelkader,Justin",DET,71,6,13,19,-14,38,0,0,0,1,1,0,95,6.3%,0.3
"Bogosian,Zach",BUF,65,3,16,19,-5,52,0,0,0,1,1,0,93,3.2%,0.3
"Neal,James",CGY,63,7,12,19,-5,28,1,0,0,4,0,0,141,5.0%,0.3
"Paajarvi,Magnus",OTT,80,11,8,19,-14,6,1,0,0,0,1,1,119,9.2%,0.2
"Hamonic,Travis",CGY,69,7,12,19,21,33,1,0,0,0,1,2,128,5.5%,0.3
"Foligno,Marcus",MIN,82,7,12,19,-1,55,0,0,0,1,0,1,91,7.7%,0.2
"Sheahan,Riley",FLA,82,9,10,19,-9,17,2,0,0,0,1,1,110,8.2%,0.2
"Hagelin,Carl",WSH,58,5,14,19,7,30,2,0,0,0,0,0,99,5.1%,0.3
"Wagner,Chris",BOS,76,12,7,19,3,51,1,0,0,0,0,0,135,8.9%,0.3
"Mayfield,Scott",NYI,79,4,15,19,18,68,0,0,0,0,1,0,104,3.8%,0.2
"Gibbons,Brian",OTT,64,8,11,19,-5,20,0,0,0,0,0,0,50,16.0%,0.3
"Hathaway,Garnet",CGY,76,11,8,19,14,56,5,0,0,0,2,0,77,14.3%,0.3
"Andersson,Rasmus",CGY,79,2,17,19,17,23,0,0,0,2,0,0,115,1.7%,0.2
"Kampf,David",CHI,63,4,15,19,-6,14,0,0,0,0,0,0,72,5.6%,0.3
"Comeau,Blake",DAL,77,7,11,18,-7,42,2,0,0,0,0,0,102,6.9%,0.2
"Ennis,Tyler",TOR,51,12,6,18,-6,2,1,0,0,3,0,0,81,14.8%,0.4
"Martinez,Alec",LA,60,4,14,18,-2,8,2,0,0,2,0,0,78,5.1%,0.3
