player,team,GP,Goals,Assists,Points,+/-,PIM,GWG,OTG,PPGoals,PPAssists,ShGoals,ShAssists,S,S%,P/G
"Weise,Dale",MTL,51,5,6,11,-8,19,1,0,0,0,1,0,58,8.6%,0.2
"Pysyk,Mark",FLA,70,1,10,11,-1,26,0,0,0,0,0,1,64,1.6%,0.2
"Fedun,Taylor",DAL,54,4,7,11,2,14,0,0,0,2,0,1,86,4.7%,0.2
"Rieder,Tobias",EDM,67,0,11,11,-8,8,0,0,0,2,0,0,92,0.0%,0.2
"Mueller,Mirco",NJ,53,1,10,11,-3,17,0,0,0,0,0,0,39,2.6%,0.2
"Edmundson,Joel",STL,64,2,9,11,8,68,1,0,0,0,0,0,102,2.0%,0.2
"Rattie,Ty",EDM,50,4,7,11,-2,4,1,0,0,1,0,0,84,4.8%,0.2
"McKegg,Greg",CAR,41,6,5,11,-2,8,1,0,0,0,0,0,27,22.2%,0.3
"Carrick,Connor",NJ,34,2,9,11,-13,19,1,0,0,1,0,0,42,4.8%,0.3
"Stephenson,Chandler",WSH,64,5,6,11,-13,0,0,0,0,0,1,0,36,13.9%,0.2
"Steel,Sam",ANA,22,6,5,11,2,8,0,0,0,2,1,0,33,18.2%,0.5
"Luff,Matt",LA,33,8,3,11,-2,9,2,0,0,0,0,0,45,17.8%,0.3
"Radil,Lukas",SJ,36,7,4,11,7,6,2,0,0,0,0,0,40,17.5%,0.3
"Reilly,Mike",MTL,57,3,8,11,0,16,1,0,0,0,0,0,101,3.0%,0.2
"Kunitz,Chris",CHI,56,5,5,10,-7,23,1,0,0,0,0,0,44,11.4%,0.2
"Perry,Corey",ANA,31,6,4,10,-16,27,1,0,0,2,0,0,59,10.2%,0.3
"Hjalmarsson,Niklas",ARI,82,0,10,10,8,44,0,0,0,0,0,2,57,0.0%,0.1
"Zotto,Michael",STL,42,1,9,10,-2,8,0,0,0,0,0,0,45,2.2%,0.2
"Gudbranson,Erik",PIT,76,2,8,10,-20,87,1,0,0,0,0,1,94,2.1%,0.1
"Bortuzzo,Robert",STL,59,2,8,10,9,47,0,0,0,0,0,1,75,2.7%,0.2
"Schaller,Tim",VAN,47,3,7,10,-2,9,0,0,0,0,0,0,44,6.8%,0.2
"Nemeth,Patrik",COL,74,1,9,10,5,53,0,0,0,0,0,1,57,1.8%,0.1
"Nichushkin,Valeri",DAL,57,0,10,10,-4,0,0,0,0,0,0,0,65,0.0%,0.2
"Bowey,Madison",DET,50,2,8,10,-1,46,1,0,0,0,0,0,48,4.2%,0.2
"Djoos,Christian",WSH,45,1,9,10,9,4,0,0,0,0,0,0,33,3.0%,0.2
"Peca,Matthew",MTL,39,3,7,10,-14,4,0,0,0,0,0,1,35,8.6%,0.3
"Carlo,Brandon",BOS,72,2,8,10,22,47,0,0,0,0,0,2,116,1.7%,0.1
"Hunt,Dryden",FLA,31,3,7,10,0,8,0,0,0,0,0,0,53,5.7%,0.3
"Blueger,Teddy",PIT,28,6,4,10,7,15,1,0,0,0,1,2,33,18.2%,0.4
"Nieves,Boo",NYR,43,4,6,10,-4,8,1,0,0,0,0,0,34,11.8%,0.2
"Rooney,Kevin",NJ,41,6,4,10,-4,15,1,0,0,0,1,0,39,15.4%,0.2
"Jaros,Christian",OTT,61,1,9,10,-14,27,0,0,0,2,0,0,65,1.5%,0.2
"Walker,Sean",LA,39,3,7,10,-8,8,0,0,0,0,0,0,55,5.5%,0.3
"Appleton,Mason",WPG,36,3,7,10,9,4,1,0,0,0,0,0,29,10.3%,0.3
"Orpik,Brooks",WSH,53,2,7,9,8,32,0,0,0,0,0,0,43,4.7%,0.2
"Brodziak,Kyle",EDM,70,6,3,9,-14,33,2,0,0,0,1,0,74,8.1%,0.1
"Polak,Roman",DAL,77,1,8,9,6,69,0,0,0,0,0,0,77,1.3%,0.1
"MacDonald,Andrew",PHI,47,0,9,9,-5,18,0,0,0,0,0,2,41,0.0%,0.2
"Lovejoy,Ben",DAL,71,2,7,9,-1,37,0,0,0,0,0,0,95,2.1%,0.1
"Spooner,Ryan",VAN,52,3,6,9,-12,2,1,0,0,1,0,0,67,4.5%,0.2
"Rask,Victor",MIN,49,3,6,9,-4,8,0,0,0,2,0,0,55,5.5%,0.2
"Kuhnhackl,Tom",NYI,36,4,5,9,1,10,0,0,0,0,0,1,30,13.3%,0.3
"Carrier,William",VGK,54,8,1,9,-4,29,1,0,0,0,0,0,85,9.4%,0.2
"Carrier,William",VGK,60,3,6,9,-13,16,0,0,0,0,0,0,55,5.5%,0.2
"Forsling,Gustav",CHI,43,3,6,9,-9,30,0,0,0,0,0,0,57,5.3%,0.2
"Puljujarvi,Jesse",EDM,46,4,5,9,-14,16,0,0,0,1,0,0,53,7.5%,0.2
"Karlsson,Jakob",BOS,28,3,6,9,1,2,0,0,0,1,0,0,21,14.3%,0.3
"Kempe,Mario",ARI,52,4,5,9,5,18,0,0,0,0,0,0,57,7.0%,0.2
"Simek,Radim",SJ,41,1,8,9,7,8,1,0,0,0,0,0,41,2.4%,0.2
"Batherson,Drake",OTT,20,3,6,9,-2,6,2,0,0,1,0,0,18,16.7%,0.5
"Ehn,Christoffer",DET,60,3,6,9,-5,6,1,0,0,0,1,0,49,6.1%,0.2
"Daley,Trevor",DET,44,2,6,8,-3,12,1,0,0,0,1,0,47,4.3%,0.2
"Kesler,Ryan",ANA,60,5,3,8,-19,44,1,0,0,2,0,0,86,5.8%,0.1
"Weber,Yannick",NSH,62,2,6,8,7,18,0,0,0,0,0,0,67,3.0%,0.1
"Demers,Jason",ARI,35,2,6,8,9,12,2,0,0,1,0,0,39,5.1%,0.2
"Smith-Pelly,Devante",WSH,54,4,4,8,-6,15,0,0,0,0,0,0,60,6.7%,0.2
"Bourque,Gabriel",COL,55,2,6,8,3,10,1,0,0,0,0,1,34,5.9%,0.2
"Brown,J.T.",MIN,56,3,5,8,0,29,0,0,0,0,0,0,56,5.4%,0.1
"Jaskin,Dmitrij",WSH,37,2,6,8,-5,6,0,0,0,0,0,0,48,4.2%,0.2
"Noesen,Stefan",NJ,41,3,5,8,-19,28,0,0,0,0,0,0,64,4.7%,0.2
"Connauton,Kevin",ARI,50,1,7,8,-2,22,0,0,0,0,0,2,75,1.3%,0.2
"Wilson,Garrett",PIT,50,2,6,8,2,18,0,0,0,0,0,0,54,3.7%,0.2
"Cave,Colby",EDM,53,3,5,8,-5,16,1,0,0,0,0,0,58,5.2%,0.2
"Kylington,Oliver",CGY,38,3,5,8,3,10,1,0,0,0,0,0,21,14.3%,0.2
"Moore,Trevor",TOR,25,2,6,8,1,2,0,0,0,0,0,0,26,7.7%,0.3
"Rutta,Jan",TB,37,2,6,8,4,16,0,0,0,0,0,0,42,4.8%,0.2
"Sikura,Dylan",CHI,33,0,8,8,2,0,0,0,0,0,0,0,52,0.0%,0.2
"Maenalanen,Saku",CAR,34,4,4,8,0,20,0,0,0,0,0,0,36,11.1%,0.2
"Kiselevich,Bogdan",WPG,32,0,8,8,-3,12,0,0,0,0,0,0,14,0.0%,0.3
"Suomela,Antti",SJ,27,3,5,8,1,4,0,0,0,0,0,0,42,7.1%,0.3
"McGinn,Jamie",FLA,19,4,3,7,-5,6,1,0,0,0,0,0,23,17.4%,0.4
"McQuaid,Adam",CBJ,50,3,4,7,2,42,1,0,0,0,0,1,28,10.7%,0.1
"Gunnarsson,Carl",STL,25,3,4,7,8,6,1,0,0,0,0,1,21,14.3%,0.3
"Pateryn,Greg",MIN,80,1,6,7,-11,41,0,0,0,0,0,0,100,1.0%,0.1
"Irwin,Matt",NSH,44,1,6,7,5,38,0,0,0,0,0,0,50,2.0%,0.2
"Miller,Kevan",BOS,39,0,7,7,8,35,0,0,0,0,0,0,32,0.0%,0.2
"Morrow,Joe",WPG,41,1,6,7,0,20,0,0,0,0,0,0,40,2.5%,0.2
"Varone,Philip",PHI,47,3,4,7,-2,8,0,0,0,0,0,0,34,8.8%,0.2
"Haula,Erik",VGK,15,2,5,7,1,10,0,0,0,1,0,0,26,7.7%,0.5
"Salomaki,Miikka",NSH,37,3,4,7,5,8,0,0,0,0,0,0,51,5.9%,0.2
"Wideman,Chris",FLA,25,2,5,7,-12,18,1,0,0,1,0,0,27,7.4%,0.3
"Dvorak,Christian",ARI,20,2,5,7,-2,2,1,0,0,0,0,0,25,8.0%,0.4
"Colle,Michael",NYI,28,3,4,7,3,2,2,0,0,0,0,0,34,8.8%,0.3
"Ryan,Joakim",SJ,44,0,7,7,-1,15,0,0,0,0,0,0,35,0.0%,0.2
"Hannikainen,Markus",CBJ,44,4,3,7,-5,2,1,0,0,0,0,0,52,7.7%,0.2
"Seeler,Nick",MIN,71,2,5,7,-4,64,1,0,0,0,0,0,67,3.0%,0.1
"Comtois,Maxime",ANA,10,2,5,7,3,7,1,0,0,0,0,0,9,22.2%,0.7
"Anderson,Joey",NJ,34,4,3,7,-7,6,1,0,0,0,1,0,49,8.2%,0.2
"Ozhiganov,Igor",TOR,53,3,4,7,0,14,0,0,0,0,0,0,43,7.0%,0.1
"Yakovlev,Egor",NJ,25,2,5,7,-6,6,0,0,0,0,0,0,24,8.3%,0.3
"Hirose,Taro",DET,10,1,6,7,0,2,1,0,0,1,0,0,15,6.7%,0.7
"Phaneuf,Dion",LA,67,1,5,6,-21,53,0,0,0,0,0,0,80,1.3%,0.1
"Sutter,Brandon",VAN,26,4,2,6,-12,6,0,0,0,0,1,0,43,9.3%,0.2
"Kulikov,Dmitry",WPG,57,0,6,6,4,47,0,0,0,0,0,0,40,0.0%,0.1
"Haley,Micheal",SJ,43,2,4,6,-2,75,0,0,0,0,0,0,34,5.9%,0.1
"Kampfer,Steven",BOS,35,3,3,6,-6,22,0,0,0,1,0,0,40,7.5%,0.2
"Sedlak,Lukas",CBJ,47,4,2,6,-5,10,0,0,0,0,0,0,43,9.3%,0.1
"Ritchie,Brett",DAL,53,4,2,6,-7,57,2,0,0,0,0,0,57,7.0%,0.1
"Frk,Martin",DET,30,1,5,6,-9,4,0,0,0,0,0,0,28,3.6%,0.2
"Claesson,Fredrik",NYR,37,2,4,6,3,9,0,0,0,0,0,1,44,4.5%,0.2
"Dea,Jean-Sebastien",PIT,23,4,2,6,0,8,1,0,0,0,0,0,29,13.8%,0.3
"Koekkoek,Slater",CHI,31,2,4,6,4,14,0,0,0,0,0,0,36,5.6%,0.2
"Folin,Christian",MTL,45,0,6,6,6,27,0,0,0,0,0,0,47,0.0%,0.1
"Fabbri,Robby",STL,32,2,4,6,-4,6,1,0,0,0,0,0,43,4.7%,0.2
"Lammikko,Juho",FLA,40,0,6,6,-7,6,0,0,0,0,0,1,39,0.0%,0.2
"Jones,Caleb",EDM,17,1,5,6,-9,6,0,0,0,1,0,0,21,4.8%,0.4
"Nelson,Casey",BUF,38,1,5,6,1,13,0,0,0,0,0,0,37,2.7%,0.2
"Dahlstrom,Carl",CHI,38,0,6,6,9,6,0,0,0,0,0,1,42,0.0%,0.2
"Fortin,Alexandre",CHI,24,3,3,6,-6,2,1,0,0,0,1,0,29,10.3%,0.3
"Cehlarik,Peter",BOS,20,4,2,6,3,6,1,0,0,0,0,0,30,13.3%,0.3
"Roy,Matt",LA,25,2,4,6,-1,8,1,0,0,0,0,0,34,5.9%,0.2
"Grundstrom,Carl",LA,15,5,1,6,-4,6,1,0,0,1,0,0,26,19.2%,0.4
"Andersson,Lias",NYR,42,2,4,6,-13,29,0,0,0,0,1,0,41,4.9%,0.1
"Dries,Sheldon",COL,40,3,3,6,-7,26,0,0,0,0,1,0,44,6.8%,0.2
"Pilut,Lawrence",BUF,33,1,5,6,-8,20,0,0,0,0,0,0,37,2.7%,0.2
"Hamhuis,Dan",NSH,57,0,5,5,-2,28,0,0,0,0,0,0,39,0.0%,0.1
"Ericsson,Jonathan",DET,52,3,2,5,-10,35,1,0,0,0,0,0,48,6.3%,0.1
"Borowiecki,Mark",OTT,53,1,4,5,-12,89,0,0,0,0,0,0,59,1.7%,0.1
"Stone,Michael",CGY,14,0,5,5,0,10,0,0,0,0,0,0,12,0.0%,0.4
"Street,Ben",ANA,21,3,2,5,-4,2,0,0,0,0,0,0,19,15.8%,0.2
"Chaput,Michael",MTL,32,0,5,5,-4,14,0,0,0,0,0,0,31,0.0%,0.2
"Marincin,Martin",TOR,24,1,4,5,-4,12,0,0,0,0,0,0,34,2.9%,0.2
"Deslauriers,Nicolas",MTL,48,2,3,5,-12,22,0,0,0,0,1,0,48,4.2%,0.1
"Zykov,Valentin",VGK,28,2,3,5,-5,2,0,0,0,2,0,0,29,6.9%,0.2
"Hudon,Charles",MTL,32,3,2,5,-9,16,0,0,0,1,0,0,50,6.0%,0.2
"Quine,Alan",CGY,13,3,2,5,0,6,0,0,0,0,0,0,11,27.3%,0.4
"Graves,Ryan",COL,26,3,2,5,4,2,0,0,0,0,0,0,26,11.5%,0.2
"Harpur,Ben",OTT,51,1,4,5,-13,56,0,0,0,0,0,0,50,2.0%,0.1
"Kukan,Dean",CBJ,25,0,5,5,6,6,0,0,0,0,0,0,16,0.0%,0.2
"Kamenev,Vladislav",COL,23,2,3,5,-2,10,0,0,0,0,1,0,22,9.1%,0.2
"Juulsen,Noah",MTL,21,1,4,5,5,6,0,0,0,0,0,0,22,4.5%,0.2
"MacEachern,Mackenzie",STL,29,3,2,5,0,10,1,0,0,0,0,0,33,9.1%,0.2
"LaDue,Paul",LA,33,2,3,5,0,12,1,0,0,0,0,0,33,6.1%,0.2
"Larsson,Jacob",ANA,49,0,5,5,-4,16,0,0,0,0,0,0,57,0.0%,0.1
"Jones,Max",ANA,30,2,3,5,-1,14,1,0,0,1,0,0,58,3.4%,0.2
"Mahura,Josh",ANA,17,1,4,5,0,4,0,0,0,3,0,0,20,5.0%,0.3
"Dube,Dillon",CGY,25,1,4,5,2,4,0,0,0,0,0,0,22,4.5%,0.2
"Currie,Josh",EDM,21,2,3,5,2,2,0,0,0,0,0,0,19,10.5%,0.2
"Hayden,John",NJ,54,3,2,5,-12,27,0,0,0,0,0,0,42,7.1%,0.1
"Bayreuther,Gavin",DAL,19,2,3,5,2,10,0,0,0,2,0,0,25,8.0%,0.3
"Kuhlman,Karson",BOS,11,3,2,5,5,2,1,0,0,0,0,0,15,20.0%,0.5
"Riikola,Juuso",PIT,37,2,3,5,3,10,1,0,0,0,0,0,43,4.7%,0.1
"Crawford,Corey",CHI,39,0,4,4,0,0,0,0,0,1,0,1,0,0.0%,0.1
"Sekera,Andrej",EDM,24,0,4,4,3,6,0,0,0,1,0,0,28,0.0%,0.2
"Halak,Jaroslav",BOS,40,0,4,4,0,0,0,0,0,2,0,0,0,0.0%,0.1
"Berglund,Patrik",BUF,23,2,2,4,-5,6,0,0,0,0,0,0,25,8.0%,0.2
"Manning,Brandon",EDM,39,2,2,4,-15,25,0,0,0,0,0,0,33,6.1%,0.1
"Hickey,Thomas",NYI,40,0,4,4,5,33,0,0,0,0,0,1,47,0.0%,0.1
"Johnston,Ross",NYI,17,1,3,4,3,23,0,0,0,0,0,0,12,8.3%,0.2
"Knight,Corban",PHI,23,1,3,4,-5,0,0,0,0,0,0,0,15,6.7%,0.2
"Gabriel,Kurtis",NJ,22,2,2,4,0,59,1,0,0,0,0,0,7,28.6%,0.2
"Brickley,Connor",NYR,14,1,3,4,3,9,0,0,0,0,0,0,18,5.6%,0.3
"Blais,Sammy",STL,32,2,2,4,-1,6,0,0,0,0,0,0,27,7.4%,0.1
"Honka,Julius",DAL,29,0,4,4,-2,10,0,0,0,0,0,0,38,0.0%,0.1
"Gaudreau,Frederick",NSH,55,3,1,4,1,2,1,0,0,0,0,0,43,7.0%,0.1
"Megna,Jaycob", ,28,1,3,4,-1,12,0,0,0,0,0,0,31,3.2%,0.1
"Martinsen,Andreas",CHI,24,1,3,4,-5,14,0,0,0,0,0,0,21,4.8%,0.2
"Siegenthaler,Jonas",WSH,26,0,4,4,6,10,0,0,0,0,0,0,12,0.0%,0.2
"Welinski,Andy",ANA,26,1,3,4,-5,8,0,0,0,0,0,0,32,3.1%,0.2
"Santini,Steve",NSH,39,1,3,4,-6,16,0,0,0,0,0,0,41,2.4%,0.1
"Gurianov,Denis",DAL,21,1,3,4,-3,0,0,0,0,1,0,0,23,4.3%,0.2
"Nylander,Alexander",BUF,12,2,2,4,-4,4,0,0,0,0,0,0,16,12.5%,0.3
"Fantenberg,Oscar",CGY,61,2,2,4,3,17,0,0,0,0,0,0,70,2.9%,0.1
"Niku,Sami",WPG,30,1,3,4,0,2,0,0,0,0,0,0,19,5.3%,0.1
"Hyka,Tomas",VGK,17,1,3,4,-2,2,0,0,0,2,0,0,22,4.5%,0.2
"Olofsson,Victor",BUF,6,2,2,4,1,2,0,0,0,0,0,0,21,9.5%,0.7
"Lyubushkin,Ilya",ARI,41,0,4,4,-9,13,0,0,0,0,0,0,27,0.0%,0.1
"Giuseppe,Phillip",NSH,24,1,3,4,-3,8,0,0,0,0,0,0,31,3.2%,0.2
"Holzer,Korbinian",ANA,22,1,3,4,5,8,0,0,0,0,0,0,15,6.7%,0.2
"Véronneau,Max",OTT,12,2,2,4,-5,0,0,0,0,0,0,0,15,13.3%,0.3
"Lundqvist,Henrik",NYR,52,0,3,3,0,0,0,0,0,2,0,0,0,0.0%,0.1
"Smith,Mike",CGY,42,0,3,3,0,2,0,0,0,0,0,0,0,0.0%,0.1
"Hendricks,Matt",WPG,26,0,3,3,-2,19,0,0,0,0,0,0,23,0.0%,0.1
"Markstrom,Jacob",VAN,60,0,3,3,0,2,0,0,0,1,0,0,0,0.0%,0.1
"Rinaldo,Zac",NSH,23,1,2,3,1,20,1,0,0,0,0,0,11,9.1%,0.1
"Ouellet,Xavier",MTL,19,0,3,3,-3,13,0,0,0,0,0,0,32,0.0%,0.2
"Bitetto,Anthony",MIN,36,0,3,3,-7,12,0,0,0,0,0,0,30,0.0%,0.1
"Gaunce,Brendan",VAN,3,1,2,3,3,0,1,0,0,0,0,0,2,50.0%,1.0
"Petan,Nic",TOR,18,1,2,3,-5,2,1,0,0,0,0,0,15,6.7%,0.2
"Vasilevskiy,Andrei",TB,53,0,3,3,0,6,0,0,0,2,0,1,0,0.0%,0.1
"Smith,Gemel",BOS,17,2,1,3,-4,0,0,0,0,0,0,0,14,14.3%,0.2
"Lehtera,Jori",PHI,27,1,2,3,-7,33,0,0,0,0,0,0,17,5.9%,0.1
"Wilson,Scott",BUF,15,0,3,3,-8,4,0,0,0,0,0,0,25,0.0%,0.2
"Hellebuyck,Connor",WPG,63,0,3,3,0,4,0,0,0,2,0,0,0,0.0%,0.1
"Gravel,Kevin",EDM,36,0,3,3,-2,4,0,0,0,0,0,0,44,0.0%,0.1
"Bishop,Clark",CAR,20,1,2,3,-3,6,0,0,0,0,0,0,16,6.3%,0.2
"Brodzinski,Jonny",LA,13,2,1,3,0,2,0,0,0,0,0,0,17,11.8%,0.2
"McLeod,Michael",NJ,21,0,3,3,-8,13,0,0,0,0,0,0,21,0.0%,0.1
"Kyrou,Jordan",STL,16,1,2,3,-1,4,0,0,0,0,0,0,16,6.3%,0.2
"Bastian,Nathan",NJ,7,3,0,3,0,10,0,0,0,0,0,0,13,23.1%,0.4
"Lettieri,Vinni",NYR,27,1,2,3,-7,14,0,0,0,1,0,0,40,2.5%,0.1
"Gambardella,Joe",EDM,15,0,3,3,2,2,0,0,0,0,0,0,7,0.0%,0.2
"Bjork,Anders",BOS,20,1,2,3,-1,2,0,0,0,0,0,0,18,5.6%,0.2
"Valimaki,Juuso",CGY,24,1,2,3,-2,12,1,0,0,0,0,0,28,3.6%,0.1
"Zadina,Filip",DET,9,1,2,3,-5,0,0,0,0,1,0,0,18,5.6%,0.3
"Hughes,Quinn",VAN,5,0,3,3,0,2,0,0,0,2,0,0,6,0.0%,0.6
"Poehling,Ryan",MTL,1,3,0,3,3,0,0,0,0,0,0,0,3,100.0%,3.0
"Anderson,Craig",OTT,50,0,2,2,0,0,0,0,0,0,0,0,0,0.0%,0.0
"Fleury,Marc-Andre",VGK,61,0,2,2,0,4,0,0,0,0,0,0,0,0.0%,0.0
"Hunwick,Matt",BUF,14,0,2,2,-7,4,0,0,0,0,0,0,10,0.0%,0.1
"Rask,Tuukka",BOS,46,0,2,2,0,4,0,0,0,1,0,0,0,0.0%,0.0
"Quick,Jonathan",LA,46,0,2,2,0,6,0,0,0,2,0,0,0,0.0%,0.0
"Hanzal,Martin",DAL,7,1,1,2,-4,4,0,0,0,0,0,0,14,7.1%,0.3
"Butler,Chris",STL,13,1,1,2,3,0,0,0,0,0,0,0,10,10.0%,0.2
"Schlemko,David",MTL,18,0,2,2,-1,4,0,0,0,2,0,0,29,0.0%,0.1
"Bishop,Ben",DAL,46,0,2,2,0,2,0,0,0,0,0,0,0,0.0%,0.0
"Schenn,Luke",VAN,26,0,2,2,-10,16,0,0,0,0,0,0,30,0.0%,0.1
"Dubnyk,Devan",MIN,67,0,2,2,0,2,0,0,0,0,0,0,0,0.0%,0.0
"Pyatt,Tom",SJ,37,0,2,2,-16,2,0,0,0,0,0,0,29,0.0%,0.1
"Koskinen,Mikko",EDM,55,0,2,2,0,2,0,0,0,0,0,0,0,0.0%,0.0
"Stalock,Alex",MIN,21,0,2,2,0,4,0,0,0,0,0,0,0,0.0%,0.1
"Holtby,Braden",WSH,59,0,2,2,0,2,0,0,0,1,0,0,0,0.0%,0.0
"Prout,Dalton",CGY,20,1,1,2,1,8,0,0,0,0,0,0,14,7.1%,0.1
"Nolan,Jordan",STL,14,0,2,2,2,14,0,0,0,0,0,0,17,0.0%,0.1
"Ruhwedel,Chad",PIT,18,1,1,2,-9,4,1,0,0,0,0,0,22,4.5%,0.1
"Petrovic,Alex",EDM,35,0,2,2,-15,26,0,0,0,0,0,0,47,0.0%,0.1
"Kuemper,Darcy",ARI,55,0,2,2,0,14,0,0,0,1,0,0,0,0.0%,0.0
"Agozzino,Andrew",COL,11,1,1,2,2,0,0,0,0,0,0,0,11,9.1%,0.2
"Brown,Joshua",FLA,37,1,1,2,-3,28,0,0,0,0,0,0,28,3.6%,0.1
"Witkowski,Luke",DET,34,0,2,2,-5,23,0,0,0,0,0,0,14,0.0%,0.1
"Archibald,Darren",OTT,12,1,1,2,-3,12,0,0,0,0,0,0,10,10.0%,0.2
"Lewington,Tyler",WSH,2,1,1,2,3,7,0,0,0,0,0,0,3,33.3%,1.0
"Ho-Sang,Josh",NYI,10,1,1,2,2,6,0,0,0,0,0,0,10,10.0%,0.2
"Paul,Nicholas",OTT,20,1,1,2,-10,4,0,0,0,0,0,0,30,3.3%,0.1
"Martel,Danick",TB,9,0,2,2,3,8,0,0,0,0,0,0,16,0.0%,0.2
"Schmaltz,Jordan",STL,20,0,2,2,-7,2,0,0,0,0,0,0,11,0.0%,0.1
"Myers,Philippe",PHI,21,1,1,2,-5,2,0,0,0,0,0,0,25,4.0%,0.1
"McCoshen,Ian",FLA,19,1,1,2,-2,8,0,0,0,0,0,0,15,6.7%,0.1
"Greer,A.J.",COL,15,1,1,2,-2,14,0,0,0,0,0,0,9,11.1%,0.1
"Smith,C.J.",BUF,11,2,0,2,0,0,1,0,0,0,0,0,18,11.1%,0.2
"Vorobyev,Mikhail",PHI,15,1,1,2,0,2,0,0,0,0,0,0,10,10.0%,0.1
"Necas,Martin",CAR,7,1,1,2,0,2,0,0,0,0,0,0,6,16.7%,0.3
"Georgiev,Alexandar",NYR,33,0,2,2,0,2,0,0,0,1,0,0,0,0.0%,0.1
"Yamamoto,Kailer",EDM,17,1,1,2,-6,2,0,0,0,1,0,0,13,7.7%,0.1
"Johnson,Adam",PIT,6,0,2,2,2,0,0,0,0,0,0,0,3,0.0%,0.3
"Tolvanen,Eeli",NSH,4,1,1,2,2,0,0,0,0,1,0,0,2,50.0%,0.5
"Lundestrom,Isac",ANA,15,0,2,2,-1,2,0,0,0,0,0,0,13,0.0%,0.1
"L'Esperance,Joel",DAL,18,2,0,2,-4,6,0,0,0,0,0,0,24,8.3%,0.1
"Luongo,Roberto",FLA,43,0,1,1,0,0,0,0,0,1,0,0,0,0.0%,0.0
"Plekanec,Tomas",MTL,3,1,0,1,0,0,0,0,0,0,0,0,8,12.5%,0.3
"Ward,Cam",CHI,33,0,1,1,0,4,0,0,0,0,0,0,0,0.0%,0.0
"Howard,Jimmy",DET,55,0,1,1,0,2,0,0,0,0,0,0,0,0.0%,0.0
"McLeod,Cody",NSH,38,1,0,1,-13,67,0,0,0,0,0,0,22,4.5%,0.0
"Price,Carey",MTL,66,0,1,1,0,2,0,0,0,0,0,0,0,0.0%,0.0
"Elliott,Brian",PHI,26,0,1,1,0,2,0,0,0,0,0,0,0,0.0%,0.0
"Greiss,Thomas",NYI,43,0,1,1,0,4,0,0,0,0,0,0,0,0.0%,0.0
"Beleskey,Matt",NYR,4,1,0,1,1,5,0,0,0,0,0,0,3,33.3%,0.3
"Niemi,Antti",MTL,17,0,1,1,0,0,0,0,0,0,0,0,0,0.0%,0.1
"Garrison,Jason",CHI,17,1,0,1,1,8,0,0,0,0,0,0,16,6.3%,0.1
"Sbisa,Luca",NYI,9,0,1,1,0,4,0,0,0,0,0,0,5,0.0%,0.1
"Alzner,Karl",MTL,9,0,1,1,1,2,0,0,0,0,0,0,8,0.0%,0.1
"Tangradi,Eric",NJ,6,0,1,1,-3,0,0,0,0,0,0,0,10,0.0%,0.2
"Bartkowski,Matt",MIN,2,1,0,1,2,0,0,0,0,0,0,0,2,50.0%,0.5
"Dalpe,Zac",CBJ,1,0,1,1,1,0,0,0,0,0,0,0,1,0.0%,1.0
"Condra,Erik",DAL,6,1,0,1,-2,2,0,0,0,0,0,0,10,10.0%,0.2
"Lehner,Robin",NYI,46,0,1,1,0,0,0,0,0,0,0,0,0,0.0%,0.0
"Elliott,Stefan",OTT,3,0,1,1,1,0,0,0,0,0,0,0,3,0.0%,0.3
"Donovan,Matt",NSH,2,0,1,1,0,2,0,0,0,0,0,0,1,0.0%,0.5
"Nilsson,Anders",OTT,36,0,1,1,0,0,0,0,0,0,0,0,0,-,0.0
"Read,Matt",MIN,12,1,0,1,-2,2,0,0,0,0,0,0,13,7.7%,0.1
"Murphy,Ryan",NJ,3,0,1,1,1,0,0,0,0,1,0,0,1,0.0%,0.3
"Hutton,Carter",BUF,50,0,1,1,0,2,0,0,0,0,0,0,0,0.0%,0.0
"Lashoff,Brian",DET,4,0,1,1,-1,2,0,0,0,0,0,0,2,0.0%,0.3
"Mrazek,Petr",CAR,40,0,1,1,0,6,0,0,0,0,0,1,1,0.0%,0.0
"Barberio,Mark",COL,12,1,0,1,-6,4,0,0,0,0,0,0,11,9.1%,0.1
"Schilling,Cameron",WPG,4,0,1,1,0,0,0,0,0,0,0,0,2,0.0%,0.3
"Andersen,Frederik",TOR,60,0,1,1,0,2,0,0,0,0,0,0,0,0.0%,0.0
"Trotman,Zach",PIT,13,0,1,1,4,4,0,0,0,1,0,0,16,0.0%,0.1
"Bailey,Justin",PHI,11,0,1,1,0,2,0,0,0,0,0,0,5,0.0%,0.1
"Raanta,Antti",ARI,12,0,1,1,0,0,0,0,0,0,0,0,0,0.0%,0.1
"Heatherington,Dillon",DAL,5,0,1,1,4,0,0,0,0,0,0,0,5,0.0%,0.2
"Campbell,Jack",LA,31,0,1,1,0,0,0,0,0,0,0,0,0,0.0%,0.0
"Dowling,Justin",DAL,11,0,1,1,-4,0,0,0,0,0,0,0,9,0.0%,0.1
"Davidson,Brandon",CHI,10,0,1,1,-4,15,0,0,0,0,0,0,7,0.0%,0.1
"Megan,Wade",DET,11,0,1,1,-4,2,0,0,0,0,0,0,16,0.0%,0.1
"Jones,Martin",SJ,62,0,1,1,0,2,0,0,0,0,0,0,0,0.0%,0.0
"MacDermid,Kurtis",LA,11,0,1,1,-1,11,0,0,0,0,0,0,5,0.0%,0.1
